url,backlinks,refpages,pages,valid_pages,text,image,nofollow,ugc,sponsored,dofollow,redirect,canonical,gov,edu,rss,alternate,html_pages,links_internal,links_external,refdomains,refclass_c,refips,linked_root_domains
www.tuodontologoca.com,32,23,987,987,32,3,8,0,0,24,0,0,0,0,0,0,519,51332,1554,4,13,13,3
ubloom.com,3002779,1492544,4824,4824,3002464,2977449,639,26,0,3001825,20,15,0,50,4,204,3739,586189,90952,805,399,489,449
wiki.turfgame.com,17593,8790,1470499,1470475,17566,598,209,6,0,17357,0,0,0,28,27,0,1449182,160938145,1410860,450,88,103,1559
prozhovot.ru,134,110,0,0,134,6,45,0,0,89,0,0,0,0,0,0,0,0,0,10,8,8,0
www.part-bt.ru,11,8,29,29,11,0,4,0,0,7,0,0,0,0,0,0,28,132,22,4,5,5,2
partnerstvo.ru,11383,7503,3987,3987,11349,21,643,4,0,10706,27,0,0,74,7,0,3903,363943,14895,290,230,273,38
simferopol.pavlin-mavlin.ru,12,7,374,374,12,0,10,1,1,2,0,0,0,0,0,0,321,11053,1150,5,6,6,5
punkty-vydachi.ru,340,332,4,4,340,6,35,0,0,305,0,0,0,0,0,0,1,0,0,62,24,29,0
pfo.qadviser.ru,0,0,1193,1193,0,0,0,0,0,0,0,0,0,0,0,0,746,68475,4054,0,0,0,0
www.globeresidential.co.uk,53,45,9,9,53,31,20,4,0,33,0,0,0,0,0,0,6,352,54,33,28,30,7
www.glutenfreehampers.co.uk,1188,227,488,488,1154,159,159,18,0,995,8,1,0,0,0,0,413,8792,627,83,104,124,21
lectrifix.co.uk,3,3,8,8,3,3,0,0,0,3,0,0,0,0,0,0,6,50,20,1,1,1,3
mail.govape.co.uk,11,10,518,518,11,1,10,0,0,1,0,0,0,0,0,0,473,16992,2104,3,3,3,8
www.granddeco.co.uk,30,28,0,0,30,26,4,0,0,26,0,0,0,0,0,0,0,0,0,17,14,16,0
www.leisureplex.co.uk,3975,2276,128,128,3847,123,1799,1,0,2048,105,0,4,1,16,0,50,1483,440,476,337,375,175
www.grcricket.co.uk,18,13,36,36,24,6,0,0,12,12,0,0,0,0,0,0,22,483,139,11,11,11,13
amilishly.nl,9639,4759,3371,3371,9637,10,731,17,0,8906,0,0,0,0,0,0,3298,49526,4764,80,76,88,99
amsterdamflora.nl,541,304,347,347,541,2,349,11,0,192,0,0,0,0,0,0,143,4699,297,72,58,65,7
www.andywawa.nl,276,212,286,286,276,0,14,0,0,262,0,0,0,0,0,0,37,1890,187,128,90,113,5
2av2to.ypgg.net,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cl.ypgo.net,406,332,0,0,406,332,74,3,0,332,0,0,0,0,0,0,0,0,0,42,37,41,0
apmengineering.nl,45,13,20,20,36,7,7,0,0,29,5,0,0,0,0,4,19,297,58,8,8,8,4
epaper.yzwb.net,646758,643529,3432,3432,643063,3270,8090,1,0,634973,95,0,294,2829,0,0,116,9255,156,3329,2324,4127,3
www.arlservices.nl,17,9,24,24,17,0,5,0,0,12,0,0,0,0,0,0,21,400,58,4,4,4,4
artconnectionexpo.nl,770,727,41,37,770,4,76,0,0,694,0,0,0,0,0,0,16,362,111,57,51,59,56
saudi-arabia.zafaf.net,103447,78866,11419,11419,103447,100900,420,0,0,103027,0,0,0,326,0,0,9872,447403,74281,6417,504,658,13
artikel104.nl,257,207,441,441,257,25,185,0,0,72,0,0,0,6,0,0,389,13237,2352,49,54,60,310
www.ajlink.net,575,436,5117,5117,575,267,163,0,0,412,0,0,0,0,0,0,4555,128483,19673,192,53,64,513
www.balisage.net,13891,9296,5075,5075,13875,827,2007,10,0,11867,13,0,4,2224,3,0,3668,87874,48507,1056,700,806,1480
www.akphotographystudio.net,65,62,0,0,65,2,7,0,0,58,0,0,0,0,0,0,0,0,0,7,10,10,0
www.bastler-shop.net,105,87,9,9,105,68,34,2,0,71,0,0,0,0,0,0,9,111,0,41,34,37,0
alf-hairs.net,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.baypointecc.net,79,62,1311,1310,75,26,0,0,0,75,4,0,0,0,0,0,77,7629,687,17,20,22,1
